county,census_yr,free,enslaved,totalblkpop,name
Robeson,1860,1462,5435,6897,ROBESON
Rockingham,1860,409,6318,6727,ROCKINGHAM
Rowan,1860,136,3930,4066,ROWAN
Rutherford,1860,123,2391,2514,RUTHERFORD
Sampson,1860,488,7028,7516,SAMPSON
Stanly,1860,45,1169,1214,STANLY
Stokes,1860,86,2469,2555,STOKES
Surry,1860,184,1246,1430,SURRY
Tyrrell,1860,143,1597,1740,TYRRELL
Union,1860,53,2246,2299,UNION
Wake,1860,1446,10733,12179,WAKE
Warren,1860,402,10401,10803,WARREN
Washington,1860,299,2465,2764,WASHINGTON
Watauga,1860,81,104,185,WATAUGA
Wayne,1860,737,5451,6188,WAYNE
Wilkes,1860,261,1208,1469,WILKES
Wilson,1860,281,3496,3777,WILSON
Yadkin,1860,172,1436,1608,YADKIN
Yancey,1860,67,362,429,YANCEY
Alamance,1870,3640,0,3640,ALAMANCE
Alexander,1870,834,0,834,ALEXANDER
Alleghany,1870,290,0,290,ALLEGHANY
Anson,1870,6078,0,6078,ANSON
Ashe,1870,582,0,582,ASHE
Beaufort,1870,4632,0,4632,BEAUFORT
Bertie,1870,7437,0,7437,BERTIE
Bladen,1870,6102,0,6102,BLADEN
Brunswick,1870,3306,0,3306,BRUNSWICK
Buncombe,1870,2303,0,2303,BUNCOMBE
Burke,1870,2314,0,2314,BURKE
Cabarrus,1870,3939,0,3939,CABARRUS
Caldwell,1870,1380,0,1380,CALDWELL
Camden,1870,2121,0,2121,CAMDEN
Carteret,1870,2725,0,2725,CARTERET
Caswell,1870,9494,0,9494,CASWELL
Catawba,1870,1703,0,1703,CATAWBA
Chatham,1870,830,0,830,CHATHAM
Cherokee,1870,301,0,301,CHEROKEE
Chowan,1870,3369,0,3369,CHOWAN
Clay,1870,142,0,142,CLAY
Cleveland,1870,2063,0,2063,CLEVELAND
Columbus,1870,2948,0,2948,COLUMBUS
Craven,1870,12116,0,12116,CRAVEN
Cumberland,1870,7515,0,7515,CUMBERLAND
Currituck,1870,1140,0,1140,CURRITUCK
Dare,1870,377,0,377,DARE
Davidson,1870,3546,0,3546,DAVIDSON
Davie,1870,3093,0,3093,DAVIE
Duplin,1870,6766,0,6766,DUPLIN
Edgecombe,1870,15112,0,15112,EDGECOMBE
Forsyth,1870,2334,0,2334,FORSYTH
Franklin,1870,7501,0,7501,FRANKLIN
Gaston,1870,4172,0,4172,GASTON
Gates,1870,3207,0,3207,GATES
Granville,1870,13355,0,13355,GRANVILLE
Greene,1870,4521,0,4521,GREENE
Guilford,1870,6080,0,6080,GUILFORD
Halifax,1870,13990,0,13990,HALIFAX
Harnett,1870,3038,0,3038,HARNETT
Haywood,1870,515,0,515,HAYWOOD
Henderson,1870,1208,0,1208,HENDERSON
Hertford,1870,4952,0,4952,HERTFORD
Hyde,1870,2378,0,2378,HYDE
Iredell,1870,4643,0,4643,IREDELL
Jackson,1870,274,0,274,JACKSON
Johnston,1870,5194,0,5194,JOHNSTON
Jones,1870,2656,0,2656,JONES
Lenoir,1870,5532,0,5532,LENOIR
Lincoln,1870,2759,0,2759,LINCOLN
Macon,1870,403,0,403,MACON
Madison,1870,334,0,334,MADISON
Martin,1870,4583,0,4583,MARTIN
McDowell,1870,1772,0,1772,MCDOWELL
Mecklenburg,1870,10721,0,10721,MECKLENBURG
Mitchell,1870,213,0,213,MITCHELL
Montgomery ,1870,2128,0,2128,MONTGOMERY 
Moore,1870,3019,0,3019,MOORE
Nash,1870,4721,0,4721,NASH
New Hanover,1870,16199,0,16199,NEW HANOVER
Northampton,1870,8510,0,8510,NORTHAMPTON
Onslow,1870,2396,0,2396,ONSLOW
Orange,1870,6420,0,6420,ORANGE
Pasquontank,1870,3951,0,3951,PASQUONTANK
Perquimans,1870,3998,0,3998,PERQUIMANS
Person,1870,5104,0,5104,PERSON
Pitt,1870,8404,0,8404,PITT
Polk,1870,978,0,978,POLK
Randolph,1870,2606,0,2606,RANDOLPH
Richmond,1870,6508,0,6508,RICHMOND
Robeson,1870,7370,0,7370,ROBESON
Rockingham,1870,6215,0,6215,ROCKINGHAM
Rowan,1870,5307,0,5307,ROWAN
Rutherford,1870,2642,0,2642,RUTHERFORD
Sampson,1870,6483,0,6483,SAMPSON
Stanly,1870,1289,0,1289,STANLY
Stokes,1870,2608,0,2608,STOKES
Surry,1870,1560,0,1560,SURRY
Transylvania,1870,309,0,309,TRANSYLVANIA
Tyrrell,1870,1302,0,1302,TYRRELL
Union,1870,2694,0,2694,UNION
Wake,1870,16184,0,16184,WAKE
Warren,1870,12492,0,12492,WARREN
Washington,1870,2777,0,2777,WASHINGTON
Watauga,1870,226,0,226,WATAUGA
Wayne,1870,8140,0,8140,WAYNE
Wilkes,1870,1662,0,1662,WILKES
Wilson,1870,5073,0,5073,WILSON
Yadkin,1870,1444,0,1444,YADKIN
Yancey,1870,308,0,308,YANCEY
Alamance,1880,4613,0,4613,ALAMANCE
Alexander,1880,897,0,897,ALEXANDER
Alleghany,1880,519,0,519,ALLEGHANY
Anson,1880,9204,0,9204,ANSON
Ashe,1880,963,0,963,ASHE
Beaufort,1880,7452,0,7452,BEAUFORT
Bertie,1880,9584,0,9584,BERTIE
Bladen,1880,8560,0,8560,BLADEN
Brunswick,1880,4052,0,4052,BRUNSWICK
Buncombe,1880,3476,0,3476,BUNCOMBE
Burke,1880,2721,0,2721,BURKE
Cabarrus,1880,5115,0,5115,CABARRUS
Caldwell,1880,1599,0,1599,CALDWELL
Camden,1880,2471,0,2471,CAMDEN
Carteret,1880,2676,0,2676,CARTERET
Caswell,1880,10656,0,10656,CASWELL
Catawba,1880,2477,0,2477,CATAWBA
Chatham,1880,7953,0,7953,CHATHAM
Cherokee,1880,288,0,288,CHEROKEE
Chowan,1880,4267,0,4267,CHOWAN
Clay,1880,141,0,141,CLAY
Cleveland,1880,2871,0,2871,CLEVELAND
Columbus,1880,5513,0,5513,COLUMBUS
Craven,1880,13064,0,13064,CRAVEN
Cumberland,1880,11241,0,11241,CUMBERLAND
Currituck,1880,1981,0,1981,CURRITUCK
Dare,1880,368,0,368,DARE
Davidson,1880,3992,0,3992,DAVIDSON
Davie,1880,3326,0,3326,DAVIE
Duplin,1880,8186,0,8186,DUPLIN
Edgecombe,1880,18213,0,18213,EDGECOMBE
Forsyth,1880,4629,0,4629,FORSYTH
Franklin,1880,11353,0,11353,FRANKLIN
Gaston,1880,4066,0,4066,GASTON
Gates,1880,3924,0,3924,GATES
Graham,1880,23,0,23,GRAHAM
Granville,1880,17670,0,17670,GRANVILLE
Greene,1880,5885,0,5885,GREENE
Guilford,1880,6700,0,6700,GUILFORD
Halifax,1880,21162,0,21162,HALIFAX
Harnett,1880,3770,0,3770,HARNETT
Haywood,1880,484,0,484,HAYWOOD
Henderson,1880,1388,0,1388,HENDERSON
Hertford,1880,6721,0,6721,HERTFORD
Hyde,1880,3341,0,3341,HYDE
Iredell,1880,5913,0,5913,IREDELL
Jackson,1880,375,0,375,JACKSON
Johnston,1880,7465,0,7465,JOHNSTON
Jones,1880,4279,0,4279,JONES
Lenoir,1880,8067,0,8067,LENOIR
Lincoln,1880,2881,0,2881,LINCOLN
McDowell,1880,1897,0,1897,MCDOWELL
Macon,1880,656,0,656,MACON
Madison,1880,459,0,459,MADISON
Martin,1880,6479,0,6479,MARTIN
Mecklenburg,1880,16241,0,16241,MECKLENBURG
Mitchell,1880,503,0,503,MITCHELL
Montgomery ,1880,2517,0,2517,MONTGOMERY 
Moore,1880,5332,0,5332,MOORE
Nash,1880,8314,0,8314,NASH
New Hanover,1880,13217,0,13217,NEW HANOVER
Northampton,1880,12046,0,12046,NORTHAMPTON
Onslow,1880,3229,0,3229,ONSLOW
Orange,1880,9143,0,9143,ORANGE
Pamlico,1880,2116,0,2116,PAMLICO
Pasquontank,1880,5514,0,5514,PASQUONTANK
Pender,1880,6957,0,6957,PENDER
Perquimans,1880,4671,0,4671,PERQUIMANS
Person,1880,6513,0,6513,PERSON
Pitt,1880,11088,0,11088,PITT
Polk,1880,1144,0,1144,POLK
Randolph,1880,3078,0,3078,RANDOLPH
Richmond,1880,10104,0,10104,RICHMOND
Robeson,1880,11988,0,11988,ROBESON
Rockingham,1880,9313,0,9313,ROCKINGHAM
Rowan,1880,6339,0,6339,ROWAN
Rutherford,1880,3255,0,3255,RUTHERFORD
Sampson,1880,9549,0,9549,SAMPSON
Stanly,1880,1339,0,1339,STANLY
Stokes,1880,3623,0,3623,STOKES
Surry,1880,2075,0,2075,SURRY
Swain,1880,109,0,109,SWAIN
Transylvania,1880,517,0,517,TRANSYLVANIA
Tyrrell,1880,1485,0,1485,TYRRELL
Union,1880,4596,0,4596,UNION
Wake,1880,23650,0,23650,WAKE
Warren,1880,16233,0,16233,WARREN
Washington,1880,4374,0,4374,WASHINGTON
Watauga,1880,414,0,414,WATAUGA
Wayne,1880,12124,0,12124,WAYNE
Wilkes,1880,1924,0,1924,WILKES
Wilson,1880,7409,0,7409,WILSON
Yadkin,1880,1544,0,1544,YADKIN
Yancey,1880,825,0,825,YANCEY
